Mushroom_type,UV_exposure_time,UV_intensity,Temperature,Humidity,Extraction_method,Vitamin_D3_yield
Oyster,128.68749138335667,5.671736066225963,31.55037844212606,61.46078195708492,Ethanol,81.5626966251263
Portobello,101.13638227850046,5.312636898667579,30.290555893094353,82.1056124941172,Ethanol,71.1146500692801
Shiitake,62.619694768675714,1.2307785922579213,26.470579029111466,89.8895159961441,Water,49.60069186244106
Oyster,148.34515335018128,4.071230448635407,34.12094287223866,51.201040213175716,Ethanol,68.1046289636854
Oyster,126.40429933415948,4.421760569072713,19.009490310568054,85.89463463163727,Water,70.23210003597804
Portobello,37.64487968863152,4.589405028072104,17.185284206192428,74.90522134394632,Water,53.96057948276708
Shiitake,164.85762136395323,6.221551323045991,32.07923933910844,88.93530476659285,Ethanol,92.85225820159887
Shiitake,149.8313312969387,5.802422920541906,23.782996332674966,68.6003807010571,Water,94.67075736255555
Oyster,171.46598525962708,6.471145835141002,31.93937708414121,83.89551722285495,Supercritical CO2,101.70912689514199
Button,133.3723164260212,7.883949353879155,32.8618041039083,52.49576274393109,Ethanol,92.01917201366118
Oyster,114.28058330908428,8.316871648444842,16.24915187238143,63.41116200313183,Ethanol,89.61517386576286
Oyster,81.10131616940521,7.46310768603845,32.66929525972121,52.680661510048395,Water,74.18934785827668
Oyster,168.56384217018226,9.599713263594412,23.966381107388443,89.01372533916282,Water,125.05045342927909
Oyster,157.2308612150694,1.1640932440872547,25.208649780084645,82.67895629087347,Ethanol,58.20734237044944
Portobello,17.6871739180522,2.7620018711519148,27.531850221864204,84.10189684983882,Supercritical CO2,48.072757506189056
Shiitake,14.482385664532842,1.068065874803279,33.52765213460174,87.51860925735576,Water,39.05570268958286
Portobello,73.99877236926844,6.827272427391427,15.38232188859528,53.40413944479141,Water,65.51426886668308
Portobello,147.7940662329116,9.082274940549881,24.536869366356342,65.42390370053333,Supercritical CO2,121.22771118748692
Portobello,177.83694198354056,3.1913406691866935,28.754440848611214,52.84139556176009,Supercritical CO2,79.67124891663768
Oyster,35.57087148759979,9.34331090316676,29.45413915396457,58.431724062001145,Ethanol,57.834654312428995
Button,111.00222160986297,1.5424065126060476,28.85064863074216,59.174631081506895,Supercritical CO2,57.62389012432858
Shiitake,74.75144562727365,9.409924241249628,17.688702588162435,68.76428844190315,Ethanol,85.86203734144885
Button,174.88544762848255,4.16460418515671,20.987911767433623,60.742486698145704,Supercritical CO2,84.24103176966725
Portobello,153.16021693307047,1.9127874560429485,22.17431050834027,54.039124272710445,Water,60.90392340704756
Portobello,152.51587980089343,5.372845832676931,31.0887441535901,56.69964356376431,Ethanol,81.8224774709345
Button,89.67783716514495,3.3109891094845714,20.57519744829106,55.89102254208364,Ethanol,64.05082575037832
Button,80.51931539740308,3.5638561176573056,19.21409927734406,88.92307191649193,Ethanol,62.341811313648506
Button,56.47920222822006,3.765609684336579,34.14896038076192,80.37170027673895,Supercritical CO2,64.22824730200213
Portobello,19.58383443065761,8.22723308049397,15.177265702269377,88.71045861078248,Water,52.13329884759054
Portobello,157.00280396335904,5.85245149007729,34.95641711363956,67.58961946031634,Ethanol,90.10760277804934
Shiitake,148.1931715521132,3.8017692924040327,28.536425977147914,61.134739266506266,Ethanol,78.71764423294346
Shiitake,179.9520044586422,6.493004049798265,31.56938598898234,81.93172788836748,Ethanol,102.81996107468754
Portobello,179.42826230256392,7.445356068008742,20.892387926923863,63.05015672164587,Ethanol,111.49483801835657
Button,104.42338995244667,3.453616006601804,15.2863055533412,61.97533494821393,Water,62.52095738583214
Button,140.72786058068678,4.7219419137281635,29.7573903712306,59.30023968831325,Supercritical CO2,84.31143298680925
Shiitake,170.61017408001277,2.096974840032528,31.682891940013516,55.18715912896941,Water,64.21486120724919
Portobello,154.44005641515994,2.630344145812123,29.809522639070384,60.25852244067064,Ethanol,62.968396700500605
Shiitake,52.0491772963436,7.130060685684845,17.85700574601677,64.21278993895551,Water,65.23532970193335
Shiitake,86.5925030027159,2.6329451292606425,30.06855844513938,76.95976832582922,Ethanol,61.872604785836394
Oyster,31.957100575754147,5.726470453003541,30.37845564215282,52.50259368877806,Supercritical CO2,51.67499721818167
Oyster,172.1886746339828,7.381416355501894,28.1708103134011,58.42027758661372,Supercritical CO2,111.15485879417822
Oyster,113.04968785664961,1.9618923078526946,30.322318655911722,82.36094561166706,Supercritical CO2,58.84833550204951
Button,48.869276935588665,6.105809976660132,31.918428793554643,55.87687694335083,Ethanol,57.064076927418284
Portobello,124.18911634899564,3.309065053312274,27.272082284749168,63.70580586090086,Water,70.43649852791211
Portobello,115.08180087784228,9.666341877138219,16.77209427939358,84.5863568743256,Supercritical CO2,105.66313259985067
Portobello,70.88766206558289,5.351910820479323,24.75255619334422,56.197012445737705,Ethanol,67.31115320744954
Portobello,29.304790673936935,8.253932947976423,16.5529866934321,53.3094734247276,Ethanol,59.98795592998326
Oyster,124.16744325077593,5.952038879406356,23.150860620648615,69.38151980320043,Water,82.04605246066609
Button,98.45230915364486,1.3907127956933725,23.142129782512555,62.096780451141456,Supercritical CO2,59.7263410147868
Button,141.29412659505869,6.698362380346201,16.320196882804833,72.53633457935416,Ethanol,93.57059872116797
Oyster,98.42779518903887,9.562630079859913,21.976410679389588,82.15219561933901,Water,96.41925054654857
Button,154.87085505415183,6.414506381316981,17.219961975826298,55.485939526109725,Supercritical CO2,93.24075631232658
Oyster,103.82416259166254,8.372699734841111,31.164704200184442,73.2279633821714,Water,93.73747011708741
Portobello,105.35945516101566,8.957858170135669,33.95376051928942,70.22035041559455,Water,88.73541182219822
Oyster,159.03111245191866,3.0527179475403923,16.446329505158772,55.763151440527984,Ethanol,66.12259076942686
Portobello,78.59208725610749,2.90840355917404,34.102304145834026,74.9599394211593,Ethanol,61.25209429647845
Portobello,32.78258883660892,6.498828899658926,25.451531986734903,60.94561671443087,Ethanol,56.64363694936928
Shiitake,14.893054973267626,4.699256228260342,20.991313559077476,69.51337274176049,Water,50.28149645078739
Oyster,138.37333346451524,8.558751725800484,16.53724150552327,53.29089297108248,Ethanol,101.78023638627704
Shiitake,115.45262373008899,9.1002081105821,25.012485361408356,68.38336228854493,Water,101.62877136301127
Oyster,129.693560576868,4.180792413724463,30.890310889814973,62.25853872171281,Water,68.07901970951838
Oyster,46.20390745651483,3.1318350307703384,29.141729545333963,82.89524844741418,Ethanol,49.99816211582494
Shiitake,33.18315084975086,8.024729637194756,16.004520229279475,52.27914907989473,Supercritical CO2,57.07077056346845
Shiitake,12.472593163539928,3.4732543199332246,16.45803670735807,66.7442909967332,Supercritical CO2,50.6953802645401
Oyster,69.59988499712148,8.403528866623105,23.05746565265274,68.33725696525752,Supercritical CO2,77.00912374512205
Button,110.28600676528762,4.813644282838865,20.905809880958866,79.00024305196474,Water,71.06354754760136
Portobello,76.6814876669545,7.0079490936232345,19.647686461120955,72.97150300360843,Water,71.85743482165941
Shiitake,84.37073674403393,1.8598178245120136,20.62008997817427,76.68849348776725,Water,49.76795673596982
Portobello,163.70697806393724,6.614733922089157,31.069654865937693,81.08197142607025,Ethanol,101.93968679095826
Button,69.20342939396106,5.065909108635062,33.58456107263708,84.48811894632755,Water,64.89935633443878
Button,97.37821315716783,6.279476168579267,23.10205389055133,62.555019868898825,Ethanol,74.03325771343906
Button,143.22101216599432,2.5121278697037708,33.12222004264994,71.52090821455612,Ethanol,65.83507057360025
Shiitake,77.41227299461593,7.631863704497639,21.42991402495764,83.604323137568,Supercritical CO2,81.39549745659576
Button,115.75473903873849,8.765173697889058,24.528739726875834,89.57804523860226,Supercritical CO2,99.86687937595329
Shiitake,156.60183048694668,2.9506582008169806,19.520579956319995,85.58077244175053,Supercritical CO2,74.35491914165158
Button,171.41850602179915,1.8614309996814555,27.80952084351688,64.85869050497507,Ethanol,62.19038333425303
Portobello,35.002491757936454,1.2127472744170276,34.57962230349618,57.806660688746014,Ethanol,45.856277150336794
Portobello,167.51989627745405,6.777743503989394,27.069861920867574,69.57570149626355,Ethanol,100.13805660771126
Oyster,93.65976982352149,6.463846324799027,22.15628168227098,79.66565807344169,Water,78.40107197910446
Portobello,53.90154601082292,5.92027671442663,27.956348919810566,69.7027628301319,Ethanol,65.62267806550399
Oyster,88.05307856050442,3.087523865043779,17.45841356930775,69.32723453254674,Supercritical CO2,58.580278822871726
Portobello,176.6055377985311,4.518153963149632,32.77318160530797,83.52921684327202,Supercritical CO2,87.5412537496348
Shiitake,93.74507597878784,6.350287016675558,25.061679015596727,64.45615116268746,Ethanol,82.42845187904315
Portobello,65.8877737488764,5.470901729732525,23.98699484079284,84.39178699246582,Ethanol,65.04838344797851
Oyster,117.67814523384338,9.890069681933985,26.717295769070383,66.27219203806894,Supercritical CO2,108.95095654838403
Oyster,50.82475519229282,2.227957773010598,27.49567725578805,63.12932422713358,Ethanol,56.63823366988896
Button,22.89676577847287,7.256300986428344,16.43551612453026,68.15959644798795,Supercritical CO2,59.5424840908318
Shiitake,31.909552724810368,4.638868912938629,28.652344424468048,80.49787834699474,Water,54.026633922547816
Portobello,31.767792622821315,4.853796534330533,19.83863360631059,55.04008111455977,Supercritical CO2,58.14737320501492
